course,reviews,tokens,sentiment_scores,label,entropy_values
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",useless product,['useless'],[-0.5],1,[0.8112781244591328]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",highly recommended,['highly'],[0.5],5,[0.8112781244591328]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",highly recommended,['highly'],[0.5],5,[0.8112781244591328]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",classy product,['classy'],[0.375],5,[0.8960382325345574]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",expected a better product,['better'],[0.5291800000000001],2,[0.787323583326851]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,['decent'],[0.39285714285714285],3,[0.885612871398971]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good not best,"['good', 'best']","[0.5648148148148148, 0.48451162790697677]",4,"[0.7557472208646809, 0.8233232038953151]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",pretty good,['good'],[0.5648148148148148],4,[0.7557472208646809]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good cooler,['good'],[0.5648148148148148],5,[0.7557472208646809]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worthless,['worthless'],[-0.5],1,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,['decent'],[0.39285714285714285],3,[0.885612871398971]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worst experience ever!,['worst'],[-0.63125],1,[0.6895549542089607]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",perfect product!,['perfect'],[0.375],5,[0.8960382325345574]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice product,['nice'],[0.47916666666666663],4,[0.8273744775003173]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",useless product,['useless'],[-0.5],1,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)","like an assembled, one can get for 4.5k cheap quality","['get', 'k']","[-0.375, 0.35714285714285715]",1,"[0.8960382325345574, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",not good,['good'],[0.5648148148148148],2,[0.7557472208646809]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very good,['good'],[0.5648148148148148],4,[0.7557472208646809]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",slightly disappointed,['disappointed'],[-0.375],2,[0.8960382325345574]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",expected a better product,['better'],[0.5291800000000001],2,[0.787323583326851]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",horrible,['horrible'],[-0.625],1,[0.6962122601251458]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very poor,['poor'],[-0.4107142857142857],1,[0.874643448443139]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",useless product,['useless'],[-0.5],1,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",really nice,"['really', 'nice']","[0.375, 0.47916666666666663]",4,"[0.8960382325345574, 0.8273744775003173]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",best in the market!,['best'],[0.48451162790697677],5,[0.8233232038953151]
