CourseId,mean_filtered_sentiment_score,Rating_Gaussian,Rating_Sigmoidal,Rating_Triangular,Rating_Trapezoidal,Rating_Piecewise,mean_label
aboriginal-education,0.3943,3.3176,3.8304,3.6829,4.2222,3.4224,4.8333
academicinfoseek,0.4214,3.3551,3.9948,3.7641,4.2222,3.4335,4.4800
ageing,0.2938,3.1386,3.0722,3.3813,4.1690,3.3727,4.0000
algorithmic-thinking-1,0.3036,3.1579,3.1374,3.4109,4.2222,3.3783,4.0667
arctic-introduction-climate,0.1962,2.9365,2.6646,3.0887,3.4603,3.3064,4.0400
automata-system-validation,0.3534,3.2438,3.5180,3.5601,4.2222,3.4039,4.6250
basic-modeling,0.3634,3.2615,3.5944,3.5901,4.2222,3.4086,4.6667
become-a-journalist-capstone,0.3559,3.2482,3.5373,3.5677,4.2222,3.4051,4.6000
behavioral-investing,0.6756,3.6016,4.4608,4.0000,4.2222,3.5026,4.8000
behavioralgenetics,0.3571,3.2505,3.5468,3.5714,4.2222,3.4057,4.8333
biases-portfolio-selection,0.2424,3.0313,2.8223,3.2271,3.7694,3.3406,3.8333
big-data-project,0.1813,2.9032,2.6410,3.0439,3.3689,3.2941,3.2000
bilingual,0.3040,3.1585,3.1398,3.4119,4.2222,3.3784,4.3750
bioconductor,0.0837,2.6874,2.5353,2.7512,2.8758,3.7325,3.1765
build-app,0.1478,2.8290,2.5952,2.9435,3.1771,3.2636,1.5833
business-of-cybersecurity-capstone,0.6703,3.5980,4.4591,4.0000,4.2222,3.5014,5.0000
business-statistics,0.5140,3.4750,4.3334,4.0000,4.2222,3.4652,4.7500
causal-effects,0.2996,3.1509,3.1071,3.3988,4.2188,3.3760,3.5556
changing-global-order,0.2986,3.1487,3.1007,3.3957,4.2098,3.3754,4.8000
chemicals-health,0.4769,3.4300,4.2342,3.9308,4.2222,3.4540,4.8571
cloud-applications-part2,0.2586,3.0648,2.8917,3.2757,3.8884,3.3513,3.8182
cloud-computing-adoption,0.4349,3.3727,4.0622,3.8048,4.2222,3.4388,4.0000
cloud-networking,0.3640,3.2628,3.5995,3.5921,4.2222,3.4090,4.5333
community-public-health,0.4318,3.3687,4.0474,3.7955,4.2222,3.4376,4.3333
computer-architecture-fundamentals,0.3812,3.2937,3.7306,3.6436,4.2222,3.4167,4.4545
conflict-management-capstone-project,0.3980,3.3244,3.8585,3.6940,4.2222,3.4240,4.2500
content-management-strategy,0.4779,3.4314,4.2377,3.9338,4.2222,3.4544,4.5000
content-marketing,0.5550,3.5119,4.3885,4.0000,4.2222,3.4751,3.6000
corporate-entrepreneurs-business-model,0.5028,3.4657,4.3155,4.0000,4.2222,3.4624,4.8000
corporate-finance-measure-success,0.5515,3.5086,4.3844,4.0000,4.2222,3.4743,5.0000
corporate-finance-two,0.4522,3.3957,4.1387,3.8565,4.2222,3.4453,5.0000
corporate-strategy,0.3376,3.2162,3.3976,3.5129,4.2222,3.3962,3.8889
cross-cultural-communication-business,0.4896,3.4481,4.2774,3.9687,4.2222,3.4583,4.6000
data-genes-medicine,0.3368,3.2147,3.3911,3.5103,4.2222,3.3958,4.1667
dataviz-dashboards,0.2448,3.0363,2.8323,3.2344,3.7870,3.3422,4.0000
dataviz-visual-analytics,0.2242,2.9941,2.7527,3.1727,3.6428,3.3278,3.9091
decentralization-africa,0.3071,3.1637,3.1638,3.4212,4.2222,3.3802,4.5000
deceptiondetox,0.2174,2.9803,2.7286,3.1523,3.5972,3.3228,4.0000
deductive-reasoning,0.2942,3.1396,3.0749,3.3827,4.1729,3.3730,3.8000
digital-business-models,0.1558,2.8465,2.6053,2.9673,3.2210,3.2712,3.8571
digital-literacy,0.3660,3.2663,3.6145,3.5980,4.2222,3.4099,4.6000
digital-manufacturing-design,0.4469,3.3886,4.1163,3.8407,4.2222,3.4433,4.3333
drug-commercialization,0.6193,3.5676,4.4423,4.0000,4.2222,3.4901,4.8000
drug-development,0.4705,3.4210,4.2108,3.9115,4.2222,3.4518,4.8000
economic-growth-part-1,0.2924,3.1356,3.0641,3.3771,4.1572,3.3719,4.7692
electronic-converters,0.3010,3.1535,3.1173,3.4030,4.2222,3.3768,4.8421
ell-assessment,0.3421,3.2239,3.4317,3.5262,4.2222,3.3984,4.7647
ell-families,0.5377,3.4958,4.3671,4.0000,4.2222,3.4710,4.7500
emergence-of-life,0.4168,3.3492,3.9706,3.7503,4.2222,3.4317,2.8571
english-for-business-writing,0.1289,2.7873,2.5729,2.8867,3.0759,3.2444,4.0667
entrepreneurial-strategic-management,0.3961,3.3209,3.8438,3.6882,4.2222,3.4232,4.3636
enumerative-combinatorics,0.2982,3.1479,3.0985,3.3946,4.2066,3.3752,4.8000
essentials-global-health,0.4321,3.3690,4.0486,3.7963,4.2222,3.4377,5.0000
eu-competition-law,0.3384,3.2176,3.4038,3.5153,4.2222,3.3966,5.0000
exploring-visualizing-iot-data,0.2351,3.0163,2.7934,3.2052,3.7178,3.3355,4.3750
fundamentals-of-computing-capstone,0.1574,2.8501,2.6074,2.9722,3.2301,3.2727,5.0000
galois,0.3195,3.1848,3.2587,3.4584,4.2222,3.3869,3.8462
genomic-data-science-project,0.2739,3.0969,2.9649,3.3218,4.0071,3.3609,4.2500
get-hired,0.3889,3.3077,3.7893,3.6667,4.2222,3.4201,4.8182
ghresponder,0.4008,3.3291,3.8784,3.7023,4.2222,3.4251,4.6000
global-health-human-animal-ecosystem,0.4784,3.4321,4.2394,3.9352,4.2222,3.4545,4.6000
global-warming-model,0.3377,3.2163,3.3982,3.5131,4.2222,3.3963,4.3333
health-care-innovation,0.2545,3.0564,2.8736,3.2635,3.8580,3.3487,3.2000
healthcarejobs,0.5370,3.4951,4.3661,4.0000,4.2222,3.4708,4.8000
heritage-protection,0.3848,3.3002,3.7578,3.6543,4.2222,3.4183,4.0000
hi-five-clinical,0.3877,3.3056,3.7802,3.6632,4.2222,3.4196,4.4000
home-care,0.6930,3.6139,4.4658,4.0000,4.2222,3.5063,4.5000
how-to-teach-us,0.3329,3.2080,3.3616,3.4987,4.2222,3.3938,3.7273
hypothesis-testing-confidence-intervals,0.4277,3.3633,4.0273,3.7832,4.2222,3.4360,5.0000
increase-reach,0.3233,3.1914,3.2883,3.4700,4.2222,3.3889,4.0000
indigenous-canada,0.4390,3.3781,4.0812,3.8171,4.2222,3.4404,5.0000
information-security-data,0.4168,3.3493,3.9709,3.7505,4.2222,3.4317,4.8333
interaction-design-capstone,0.2678,3.0841,2.9350,3.3035,3.9594,3.3572,3.6316
interest-rate-models,0.2990,3.1497,3.1036,3.3971,4.2138,3.3757,4.5000
internet-of-things-dragonboard,0.3202,3.1861,3.2644,3.4607,4.2222,3.3873,3.2500
internet-of-things-sensing-actuation,0.2618,3.0716,2.9067,3.2855,3.9133,3.3534,4.0000
investment-strategies-portfolio-analysis,0.1523,2.8387,2.6008,2.9568,3.2014,3.2678,2.7143
iot-architecture,0.3939,3.3169,3.8273,3.6817,4.2222,3.4222,3.4000
iot-devices,0.3016,3.1545,3.1220,3.4049,4.2222,3.3772,3.3333
iot-software-architecture,0.4168,3.3493,3.9709,3.7505,4.2222,3.4317,3.6667
korean-economy,0.4643,3.4123,4.1872,3.8928,4.2222,3.4496,4.8000
making-architecture,0.5090,3.4708,4.3256,4.0000,4.2222,3.4640,4.9231
managing-organization,0.3126,3.1730,3.2058,3.4377,4.2222,3.3832,3.7500
mandarin-chinese-2,0.2933,3.1376,3.0696,3.3799,4.1652,3.3724,4.8000
market-power,0.3609,3.2572,3.5756,3.5827,4.2222,3.4075,4.2857
material-informatics,0.3399,3.2200,3.4147,3.5196,4.2222,3.3973,3.8000
mcs-ds-applicant,0.5731,3.5296,4.4087,4.0000,4.2222,3.4794,4.8000
meaningful-marketing-insights,0.3319,3.2062,3.3537,3.4957,4.2222,3.3933,3.8889
mindshift,0.3690,3.2716,3.6371,3.6069,4.2222,3.4112,4.8605
mindware,0.3426,3.2249,3.4358,3.5278,4.2222,3.3987,5.0000
missing-data,0.2009,2.9467,2.6737,3.1026,3.4895,3.3101,3.1250
modern-american-poetry,0.2386,3.0236,2.8072,3.2158,3.7426,3.3380,3.1111
motion-and-kinetics,0.4081,3.3382,3.9221,3.7243,4.2222,3.4282,4.6667
music-education,-0.0003,2.4993,2.4999,2.4990,2.4981,2.5000,4.2000
music-production-capstone,0.4082,3.3384,3.9227,3.7246,4.2222,3.4282,4.8333
music-society,0.4108,3.3417,3.9376,3.7324,4.2222,3.4293,4.5714
natural-attenuation-of-groundwater-contaminants,0.2961,3.1435,3.0860,3.3883,4.1888,3.3740,4.7692
networks-illustrated,0.2270,2.9997,2.7628,3.1809,3.6616,3.3298,3.6667
neurohacking,0.4669,3.4159,4.1972,3.9006,4.2222,3.4505,4.9000
news-literacy,0.3556,3.2478,3.5354,3.5669,4.2222,3.4050,4.8750
nonprofit-gov-2,0.3583,3.2525,3.5556,3.5749,4.2222,3.4063,4.6000
our-earth,0.4746,3.4268,4.2260,3.9239,4.2222,3.4533,4.5000
particle-physics,0.2014,2.9477,2.6753,3.1041,3.4927,3.3105,3.3750
personality-types-at-work,0.3398,3.2199,3.4140,3.5193,4.2222,3.3973,4.3846
pharma-medical-device-innovations,0.2418,3.0302,2.8201,3.2255,3.7655,3.3402,3.9333
planning,0.2035,2.9520,2.6821,3.1105,3.5064,3.3122,4.1111
plato-dialogues,0.2564,3.0603,2.8820,3.2692,3.8723,3.3499,4.3333
population-health,0.5109,3.4724,4.3286,4.0000,4.2222,3.4644,4.6667
portfolio-management,0.4829,3.4384,4.2549,3.9486,4.2222,3.4561,3.2222
postharvest,0.3443,3.2277,3.4484,3.5328,4.2222,3.3995,5.0000
power-electronics-capstone,0.4008,3.3291,3.8787,3.7024,4.2222,3.4252,4.9091
presentation-skills,0.6072,3.5614,4.4378,4.0000,4.2222,3.4873,5.0000
program-code,0.3946,3.3181,3.8325,3.6837,4.2222,3.4225,4.2667
public-health-depression,0.3098,3.1684,3.1847,3.4294,4.2222,3.3817,4.2000
r-packages,0.2132,2.9717,2.7141,3.1396,3.5693,3.3197,3.8571
rookie-teaching,0.2598,3.0674,2.8973,3.2794,3.8978,3.3521,4.5000
sampling-methods,0.2057,2.9565,2.6892,3.1171,3.5204,3.3139,3.8000
scala-capstone,0.3620,3.2591,3.5840,3.5860,4.2222,3.4080,4.1818
