course,reviews,tokens,sentiment_scores,label,entropy_values,fuzzy_rating
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",super!,['super'],[0.07499999999999998],5,[0.9959386076315955],3.09184706281663
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",fair,['fair'],[0.0735294117647059],3,[0.9960964590537512],3.0904108524804763
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",useless product,"['useless', 'product']",[-0.5],1,[0.8112781244591328],2.722609866868543
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",fair,['fair'],[0.0735294117647059],3,[0.9960964590537512],3.0904108524804763
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",highly recommended,"['highly', 'recommended']","[0.5, 0.25]",5,"[0.8112781244591328, 0.954434002924965]",3.3523785215458908
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173],3.4249496498800855
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328],2.722609866868543
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",worth the money,"['worth', 'money']",[0.2],4,[0.9709505944546686],3.2092888104243116
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",great product,"['great', 'product']",[0.25],5,[0.954434002924965],3.251806535394407
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",mind-blowing purchase,"['mindblowing', 'purchase']",[0.025],5,[0.9995491108252483],3.044882834529994
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",highly recommended,"['highly', 'recommended']","[0.5, 0.25]",5,"[0.8112781244591328, 0.954434002924965]",3.3523785215458908
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574],3.3506129189009157
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",classy product,"['classy', 'product']",[0.375],5,[0.8960382325345574],3.3506129189009157
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",must buy!,['buy'],[0.1875],5,[0.9744894033980523],3.1984103064949903
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",fabulous!,['fabulous'],[0.16666666666666666],5,[0.9798687566511528],3.1800719221167455
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",worth every penny,"['worth', 'penny']",[0.2],5,[0.9709505944546686],3.2092888104243116
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",super!,['super'],[0.07499999999999998],5,[0.9959386076315955],3.09184706281663
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",great product,"['great', 'product']",[0.25],5,[0.954434002924965],3.251806535394407
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",worth every penny,"['worth', 'penny']",[0.2],5,[0.9709505944546686],3.2092888104243116
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",just wow!,['wow'],[0.125],5,[0.9886994082884974],3.1426339869492783
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific purchase,"['terrific', 'purchase']","[0.04166666666666663, 0.025]",5,"[0.9987472979361685, 0.9995491108252483]",3.0524446706323154
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",worth every penny,"['worth', 'penny']",[0.2],5,[0.9709505944546686],3.2092888104243116
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific,['terrific'],[0.04166666666666663],5,[0.9987472979361685],3.060111715281486
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",simply awesome,"['simply', 'awesome']","[0.25, 0.75]",5,"[0.954434002924965, 0.5435644431995964]",3.4509718719072344
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific,['terrific'],[0.04166666666666663],5,[0.9987472979361685],3.060111715281486
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",expected a better product,"['expected', 'better', 'product']","[-0.017857142857142863, 0.5291800000000001]",2,"[0.9997699662429029, 0.787323583326851]",3.261600193739355
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific purchase,"['terrific', 'purchase']","[0.04166666666666663, 0.025]",5,"[0.9987472979361685, 0.9995491108252483]",3.0524446706323154
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
