course,reviews,tokens,sentiment_scores,label,entropy_values,fuzzy_rating
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",useless product,['useless'],[-0.5],1,[0.8112781244591328],2.722609866868543
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173],3.4249496498800855
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328],2.722609866868543
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574],3.3506129189009157
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",classy product,['classy'],[0.375],5,[0.8960382325345574],3.3506129189009157
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",simply awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964],3.6754123807731456
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",expected a better product,['better'],[0.5291800000000001],2,[0.787323583326851],3.4567103598400135
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0],3.926591924841154
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,['highly'],[0.5],5,[0.8112781244591328],3.43909036103874
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964],3.6754123807731456
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,['decent'],[0.39285714285714285],3,[0.885612871398971],3.3638383674576975
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]",3.414115131210351
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good not best,"['good', 'best']","[0.5648148148148148, 0.48451162790697677]",4,"[0.7557472208646809, 0.8233232038953151]",3.4541742921750216
