course,reviews,tokens,sentiment_scores,label,entropy_values
aboriginal-education,Excellent course! Totally recommended!,"['excellent', 'totally']","[1.0, 0.5]",5,"[0.0, 0.8112781244591328]"
aboriginal-education,Great course information and content ! Very interesting ! Unfortunately there is a peer graded assignment which 3 classmates must grade. Although two of my classmates gave me all passing grades one classmate gave me all 0's and didn't really justify why; which made me have to re submit my assignment. Thankfully 3 other amazing classmates saw the quality of my work :),['unfortunately'],[-0.875],4,[0.3372900666170139]
academicinfoseek,An excellent course: it provides learners with the concepts and skills necessary for searching and researching information in libraries and online. Lectures are clear and well organized. There are activities for students to go deeper into the topics (optional) and quizzes that helped them to check the main concepts.,['excellent'],[1.0],5,[0.0]
academicinfoseek,"Excellent, and important to investigation and intellectual working",['excellent'],[1.0],5,[0.0]
academicinfoseek,it is Avery good course and provide lots of information about searching process and tool of management,['avery'],[0.5648148148148148],5,[0.7557472208646809]
academicinfoseek,Objective. Very good material and good practices to help you better build a bibliography for research purpose. Sometimes the multiple answers quiz can be tricky.,"['good', 'good', 'better']","[0.5648148148148148, 0.5648148148148148, 0.5291800000000001]",4,"[0.7557472208646809, 0.7557472208646809, 0.787323583326851]"
academicinfoseek,"Not too comprehensive, but an overall good course.",['overall'],[0.5648148148148148],4,[0.7557472208646809]
academicinfoseek,"This course is very thorough and detailed. As an IT specialist, I have had no exposure to formal research and needed to understand the process. Now I can clearly and confidently say that I can perform good research and obtain formal information and data on any topic, as opposed to just surfing the internet for genuine knowledge. Great course, well done to the instructors.","['thorough', 'confidently']","[0.8125, 0.5648148148148148]",5,"[0.4488644887230294, 0.7557472208646809]"
academicinfoseek,Wonderful course on information seeking.,['wonderful'],[0.75],5,[0.5435644431995964]
academicinfoseek,As an experienced researcher I learned a lot from doing this course,['researcher'],[1.0],5,[0.0]
academicinfoseek,"Very interesting course, better done when in an academic context and with an ongoing project to carry out the exercices for. If you don't have access to a university library, you will be very limited, but the course presents some alternatives for us professionals who are still interested in researching and documenting our work with a more scientific approach.",['better'],[0.5291800000000001],4,[0.787323583326851]
academicinfoseek,"The reading material is not good (it' s even bad) , but the course videos are excellent.","['good', 'bad', 'video']","[0.5648148148148148, -0.5955882352941176, 1.0]",5,"[0.7557472208646809, 0.7263179821168531, 0.0]"
academicinfoseek,"Apart for some slightly confusing breaks in the sentences for some speakers, it was very good and relevant information.",['break'],[0.5648148148148148],4,[0.7557472208646809]
ageing,"Good info, lots to think about",['good'],[0.5648148148148148],4,[0.7557472208646809]
ageing,It is a wonderful COURSE,['wonderful'],[0.75],5,[0.5435644431995964]
ageing,I thought this was an excellent course that looked at trends in aging populations from many perspectives. The reflections were thought provoking and the assignments helped reinforce a serious approach to the course.,['excellent'],[1.0],5,[0.0]
algorithmic-thinking-1,"Compared to the previous courses in this specialization I found this a tough course. Calculating the big-O for yourself wasn't easy. The descriptions of the applications #1 and #2 were not very clear to me at the start (probably because English is not my first language). Some sentences I had to read several times before I understand what was asked. But the things I learned are useful and I am definitely sure that what I have learned here I can use in my work as software engineer. Thank you Luay, Scott and Joe for another excellent course.","['found', 'thing']","[-0.4375, 1.0]",5,"[0.8571484374283715, 0.0]"
algorithmic-thinking-1,A course I enjoy very much!,['enjoy'],[0.425],5,[0.8654698974285927]
algorithmic-thinking-1,"The applications were too time consuming. Please consider adding a tool that makes graphing easier. The course itself was very good and engaging and without us knowing it, would teach core fundamentals of computing through the coding exercises.",['course'],[0.5648148148148148],4,[0.7557472208646809]
algorithmic-thinking-1,"One of the best course offered by coursera, helps you to develop very strong basics if new,.",['best'],[0.48451162790697677],5,[0.8233232038953151]
algorithmic-thinking-1,"Project is interesting, bu the video lecture is kind of repetitive and does not cover much",['bu'],[0.46875],4,[0.8351164948421137]
algorithmic-thinking-1,"The transition from the original Coursera platform to the new one has significantly reduced my overall satisfaction with the course experience (I have previously taken the 4 earlier Rice courses in this series and enjoyed them immensely).Major contributing factors to my dissatisfaction:-- The user interface changes are unwelcome and have detracted from my ability to engage with the material.-- There have been arbitrary (and unannounced) changes to polices, e.g. dropping distinction grading.-- The price increase per course and locking down of assignments to only those who have paid has unfortunate side effects, including.-- In contrast to previous courses in this series which had an active community engagement the discussion forums are now relatively empty, running the courses more often is not going to help this situation.Having previously been an unpaid evangelist for the Coursera approach and materials I now find myself extremely reluctant to recommend this revised experience to colleagues.","['previously', 'course', 'contributing', 'material']","[0.425, -0.5, -0.5, -0.72575]",1,"[0.8654698974285927, 0.8112781244591328, 0.8112781244591328, 0.5766596375319202]"
algorithmic-thinking-1,"I found the material of this course to be very enlightening, it's not too difficult if you have the appropriate background. However, it will take a decent amount of time to fully complete. As part of the specialization, all of the skills I've learned were consolidated and put to an interesting use with this class.",['difficult'],[-0.6875],4,[0.6252624052234231]
arctic-introduction-climate,Excellent initial overview course for people without a knowledge of the Arctic or Environmental Science.,['excellent'],[1.0],5,[0.0]
arctic-introduction-climate,The content was good and very instructive but the videos and graphic material could be more dynamic and interactive.,['good'],[0.5648148148148148],4,[0.7557472208646809]
arctic-introduction-climate,"Nice overview, gives a good appreciation for changes happening in the Arctic. Sometimes the lecture material is a bit dry and repetitive/slow.","['nice', 'give']","[0.47916666666666663, 0.5648148148148148]",4,"[0.8273744775003173, 0.7557472208646809]"
arctic-introduction-climate,"The class isn't over but I'm suffering through it, not enjoying it, like I did the dino Uof A classes. Problems: the presenter is HORRIBLE. He's sing-songy, trying to be interesting. Can't you get the dino guy? Or me -I'll do it for free. PAINFUL. Also - you need more graphics. Charging along with Mr. Boring and a map of Alaska behind him as concept after concept - difficult ones for folks who aren't like me with lots of background - is a perfect recipe for lack of comprehension. Even inept and cheesy graphics would be better than nothing. Yes, I noticed that the earth is spinning the wrong way in the ""sun at an angle around the sun"" graphic but who cares? It's something. And yes, I know it's free, and I know you have budgets, but 3 universities can't rustle up a graphics undergrad to help out and call it an internship?? The content is probably better than my perception - and I'm perceiving high! - because I need an aspirin after 20 minutes of Mr. Please Get A Professional Presenter [or at least competent.] I create online education that is nothing better than Powerpoint and a talking head, lack of budget, but at least the head doesn't make people want to drown themselves in a melting glacier.","['isnt', 'im', 'dino', 'horrible', 'trying', 'guy', 'charging', 'mr', 'concept', 'noticed', 'care', 'know']","[-0.45588235294117646, 0.425, -0.625, -0.5555555555555555, -0.75, -0.6875, -0.75, 0.5291800000000001, -0.5673076923076923, 0.5291800000000001, 0.5833333333333334, 0.5291800000000001]",2,"[0.8444034301021595, 0.8654698974285927, 0.6962122601251458, 0.7642045065086205, 0.5435644431995964, 0.6252624052234231, 0.5435644431995964, 0.787323583326851, 0.7534393408598374, 0.787323583326851, 0.7382848661434503, 0.787323583326851]"
arctic-introduction-climate,"The course content was very interesting, however, the way it was presented was very dull and monotonous. The script was great - very insightful and informative, but having the presenter talk for the whole lecture without more frequent use of diagrams, figures, etc. to help understand the concepts is not helpful and incomprehensible to me. Specially when it comes to a course with so much geographical content, it would be good to have a more consistent depiction of maps. Furthermore, with all the new concepts, visual aid would help students understand what things are and what they look like since the backgrounds chosen for the lectures have little or nothing to do with the course whatsoever.On the other hand, I do think that the questions throughout the videos are extremely useful as they (usually) tackle problems that were not mentioned previously and gets the student to think independently. Finally, the end of lesson tests always have one or two challenging questions which is great. This course has a 5 star potential, so I hope the reviews are being read so they can work towards that goal!","['script', 'specially']","[0.625, 0.5648148148148148]",3,"[0.6962122601251458, 0.7557472208646809]"
arctic-introduction-climate,Great! I love the fact that it is a very simple course and information is easy to understand! I also adore the professionalism that is present in every lecture. Absolutely fantastic!,['adore'],[0.5],5,[0.8112781244591328]
arctic-introduction-climate,A very good review of the main topics related to the Arctic and climate change. Final lesson tests are sometimes confusing.,['good'],[0.5648148148148148],4,[0.7557472208646809]
