CourseId,Review,Label
aboriginal-education,Excellent course! Totally recommended!,5
aboriginal-education,Great course information and content ! Very interesting ! Unfortunately there is a peer graded assignment which 3 classmates must grade. Although two of my classmates gave me all passing grades one classmate gave me all 0's and didn't really justify why; which made me have to re submit my assignment. Thankfully 3 other amazing classmates saw the quality of my work :),4
aboriginal-education,Very interesting course. I learned a lot about the history of Aboriginal education.,5
aboriginal-education,Great content! Learned a lot.,5
aboriginal-education,"This has been an phenomenal course on the education and worldviews of First Nations people. As an educator in a First Nation's community in Ontario's north, the knowledge in the lectures has been phenomenal.",5
aboriginal-education,I found this course was very interesting and a great learning tool and I am glad I would recommend this course to people Ni:Awen,5
academicinfoseek,It is very useful by covering all related aspect in information seeking.,5
academicinfoseek,An excellent course: it provides learners with the concepts and skills necessary for searching and researching information in libraries and online. Lectures are clear and well organized. There are activities for students to go deeper into the topics (optional) and quizzes that helped them to check the main concepts.,5
academicinfoseek,"Excellent, and important to investigation and intellectual working",5
academicinfoseek,it is Avery good course and provide lots of information about searching process and tool of management,5
academicinfoseek,Objective. Very good material and good practices to help you better build a bibliography for research purpose. Sometimes the multiple answers quiz can be tricky.,4
academicinfoseek,"Not too comprehensive, but an overall good course.",4
academicinfoseek,I have important knowledge and skill finding information through this couse.,4
academicinfoseek,Perfect guided course. The only handicap to me is the accent of the speaking English. I hardly understand what they are saying without subtitles.Thx for your all precious effort.,1
academicinfoseek,"I love this course. It helps me with my teaching and personal development. Besides, I know several reference management tools from this course. Storing the documents is really complicated and makes me in a mess. Thank you for your tutoring and sharing.",5
academicinfoseek,"This course is very thorough and detailed. As an IT specialist, I have had no exposure to formal research and needed to understand the process. Now I can clearly and confidently say that I can perform good research and obtain formal information and data on any topic, as opposed to just surfing the internet for genuine knowledge. Great course, well done to the instructors.",5
academicinfoseek,Very informative and interesting. I find that the exercises did not contribute enough to understanding the material.,4
academicinfoseek,I learned a lot!,4
academicinfoseek,Very useful for university students or people who new to research world,5
academicinfoseek,This is a course that everyone need to pass it,5
academicinfoseek,Very useful and handy tips.,4
academicinfoseek,concise and stright to the point,5
academicinfoseek,it is so cool course,5
academicinfoseek,very informative and well organized.,5
academicinfoseek,Wonderful course on information seeking.,5
academicinfoseek,very useful!!,5
academicinfoseek,As an experienced researcher I learned a lot from doing this course,5
academicinfoseek,"Very interesting course, better done when in an academic context and with an ongoing project to carry out the exercices for. If you don't have access to a university library, you will be very limited, but the course presents some alternatives for us professionals who are still interested in researching and documenting our work with a more scientific approach.",4
academicinfoseek,"The reading material is not good (it' s even bad) , but the course videos are excellent.",5
academicinfoseek,"Like they say in the course for bachelor students, this is very helpful. I study history, so I always and up with millions of sources. Not only have I learned how to search intelligently, I have also learned to manage my results and papers carefully.",4
academicinfoseek,"Apart for some slightly confusing breaks in the sentences for some speakers, it was very good and relevant information.",4
ageing,"Good info, lots to think about",4
ageing,Very interesting course about the aging process and how living in different areas can really affect your longevity and your health in your senior years. It was enjoyable to read papers from other students on how their lives are now and what they are planning in the future.,5
